Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback	Tags
jarādhammomhi	s	sandhi	fem + masc + pr						I am of such nature to grow old; I am subject to old age					jarā + dhammo + amhi	jarādharma + asmi			(ANa) jarādhammo'mhī'ti jarāsabhāvo amhi.					AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	<b>jarādhammo</b><b>’mhi</b> jaraṃ anatīto	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	!	jarā dhammo amhi	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=jarādhammomhi"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
jarādhamma	ps	adj	comp						liable to grow old; of nature to decay					jarā + dhamma						AN 3.39	sukhumālasuttaṃ	assutavā kho puthujjano attanā jarā-dhammo samāno jaraṃ anatīto paraṃ jiṇṇaṃ disvā aṭṭīyati harāyati jigucchati attānaṃ’y’eva {na} atisitvā, aham’pi kho’mhi <b>jarādhammo</b> jaraṃ anatīto	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	<b>jarādhammo</b>’mhi jaraṃ anatīto	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	jarādhamm	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=jarādhamma"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
kammassaka	s	adj	comp						possessing of actions; actions are one's property			√kar &		kamma + saka	karma + svaka								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	<b>kammassako</b>’mhi kamma-dāy’ādo kamma-yoni kamma-bandhu kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	kammassak	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammassaka"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
maraṇadhamma	ps	adj	comp						liable to die; of a nature to die; lit. death nature					maraṇa + dhamma	maraṇadharman					MN 10.16	mahāsatipaṭṭhānasuttaṃ	<b>maraṇadhammānaṃ</b> sattānaṃ evaṃ icchā uppajjati ‘aho vata mayaṃ na <b>maraṇadhammā</b> assāma, na ca vata no maraṇaṃ āgaccheyyā’ti. na kho pan’etaṃ icchāya pattabbaṃ, idam’pi yam’p’icchaṃ na labhati tam’pi dukkhaṃ	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	<b>maraṇadhammo</b>’mhi maraṇaṃ anatīto	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	maraṇadhamm	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=maraṇadhamma"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
maraṇadhammomhi	s	sandhi	nt + masc + pr						I am of such nature to die; I am subject to death					maraṇa + dhamma + amhi	maraṇadharman + asmi								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	<b>maraṇadhammo’mhi</b> maraṇaṃ anatīto	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	!	maraṇa dhamma amhi	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=maraṇadhammomhi"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
abhiṇhaṃ	ps	ind	adv, abbrev	abhikkhaṇaṃ					continuously; repeatedly; regularly; often; lit. seen a lot			√ikkh 1 a (to see, mark)		abhi + (√ikkh+a)>ṇa + aṃ	abhikkhaṇaṃ, abhīkṣṇa	√īkṣ				AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū <b>abhiṇhaṃ</b> sannipātā bhavissanti sannipātabahulā, vuddhi’y’eva pāṭikaṅkhā no parihāni	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	byādhi-dhammo’mhi, byādhiṃ anatīto’ti <b>abhiṇhaṃ</b> paccavekkhitabbaṃ itthiyā vā purisena vā gahaṭṭhena vā pabbajitena vā	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhiṇhaṃ"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
amhehi 1	ss	pron	1st instr pl	ahaṃ					by us; with us						asmābhiḥ								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	evaṃ <b>amhehi</b> abhiṇhaṃ paccavekkhitabbaṃ	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections	Sri Lanka		ettāvatā ca <b>amhehi</b> sambhataṃ puñña-sampadaṃ sabbe devā anumodantu sabba-sampatti-siddhiyā.	Devata-patti-dāna		Sharing of Merits	33n	!*	ahaṃ pron	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=amhehi 1"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā Devata-patti-dāna
anatīta	ps	adj	pp	na acceti	neg				not past; not free from; not having got over; lit. not overcome			√i 1 a (to come, go)		na + ati + √i + ta	an + atīta	√i				AN 3.39	sukhumālasuttaṃ	assutavā kho puthujjano attanā jarā-dhammo samāno jaraṃ <b>anatīto</b> paraṃ jiṇṇaṃ disvā aṭṭīyati harāyati jigucchati attānaṃ’y’eva {na} atisitvā, aham’pi kho’mhi jarā-dhammo jaraṃ anatīto	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	jarā-dhammo’mhi jaraṃ <b>anatīto</b>	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	anatīt	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anatīta"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
saka 3	s	nt							one’s own (property; possessions; etc)					sa + ka	svaka								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-<b>ssako</b>’mhi kamma-dāy’ādo kamma-yoni kamma-bandhu kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	sak	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saka 3"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
kammadāyāda	s	adj	comp						inheriting of actions; who bears the consequences of actions			√kar & √dā		kamma + dāyāda	karmadāyāda								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi <b>kammadāyādo</b> kamma-yoni kamma-bandhu kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāyādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	kammadāyād	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammadāyāda"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
dāya 2	s	masc	in comps						gift; present; offering; donation			√dā 1 a (to give)		√dā + ya	dāya	√dā							AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi kamma-<b>dāy’</b>ādo kamma-yoni kamma-bandhu kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	dāy	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dāya 2"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
dāyāda	ps	masc	agent, comp					+gen	heir; inheritor; lit. receiver of what is given			√dā & √ādā		dāya + āda	dāyāda					MN 14	cūḷa dukkhakkhandhasuttaṃ	na corā hareyyuṃ, na aggi daheyya, na udakaṃ vaheyya, na appiyā <b>dāy’ādā</b> hareyyun’ti	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi kamma-<b>dāy’ādo</b> kamma-yoni kamma-bandhu kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	dāyād	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dāyāda"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
āda	s	nt	in comps	ādāti					taking; receiving; accepting			√ādā 3 ya (to take, seize)		√ādā + a	āda	ā√dā							AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi kamma-dāy’<b>ādo</b> kamma-yoni kamma-bandhu kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	ād	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āda"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
kammayoni	s	adj	comp						born from actions; lit. action womb			√kar &		kamma + yoni	karmayoni								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi kamma-dāy’ādo <b>kammayoni</b> kamma-bandhu kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	kammayon	i adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammayoni"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
yoni 1	ps	fem							source; origin; way of birth; place of birth; lit. womb						yoni					VV 52	revatī vimānavatthu	s’āhaṃ nūna ito gantvā, <b>yoniṃ</b> laddhāna mānusiṃ, vadaññū sīlasampannā, kāhāmi kusalaṃ bahuṃ.	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi kamma-dāy’ādo kamma-<b>yoni</b> kamma-bandhu kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	yon	i fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yoni 1"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
kammabandhu	s	adj	comp						bound by actions; related to actions; lit. relative of actions			√kar & √bandh		kamma + bandhu	karmabandha								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi kamma-dāy’ādo kamma-yoni <b>kammabandhu</b> kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	kammabandh	u adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammabandhu"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
bandhu	ps	masc		bandhati					relative; relation; lit. tied to			√bandh 1 a (to bind, tie)		√bandh + u	bandhu	√badh				SN 22.95	pheṇapiṇḍūpamasuttaṃ	‘pheṇa-piṇḍ’ūpamaṃ rūpaṃ, vedanā bubbuḷ’ūpamā. <br/>marīcik’ūpamā saññā, saṅkhārā kadal’ūpamā. <br/>māy’ūpamañ’ca viññāṇaṃ, desit’ādicca’<b>bandhunā</b>.	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi kamma-dāy’ādo kamma-yoni kamma-<b>bandhu</b> kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	bandh	u masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bandhu"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
kammapaṭisaraṇa	s	adj	comp						protected by actions; supported by actions; lit. action refuge					kamma + paṭisaraṇa	karma + pratisaraṇa								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-ssako’mhi kamma-dāy’ādo kamma-yoni kamma-bandhu <b>kammapaṭisaraṇo</b>. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	kammapaṭisaraṇ	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammapaṭisaraṇa"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
paṭisaraṇa 1	s	nt						+gen	protection; shelter; refuge			√sar 1 a (to go, flow)		pati + √sar + aṇa	pratiśaraṇa	√sṛ							AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	kamma-s’sako’mhi kamma-dāy’ādo kamma-yoni kamma-bandhu kamma-<b>paṭisaraṇo</b>. yaṃ kammaṃ karissāmi - kalyāṇaṃ vā pāpakaṃ vā - tassa dāy’ādo bhavissāmi.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	paṭisaraṇ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paṭisaraṇa 1"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
dhamma 11	s	adj		dharati					liable (to); prone (to); destined (for)			√dhar 1 a (to hold, carry, endure)		√dhar + ma	dharma	√dhṛ							AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	maraṇa-<b>dhammo</b>’mhi maraṇaṃ anatīto	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	dhamm	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dhamma 11"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
amhi	ss	pr	1st sg, irreg	atthi			intrans	+nom	I am			√as 1 a (to be)		√as + mhi	asmi	√as							AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	maraṇa-dhammo’<b>mhi</b> maraṇaṃ anatīto	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections	AN 10.48	pabbajitābhiṇhasuttaṃ	‘vevaṇṇiy’<b>amhi</b> ajjhupagato’ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ.	Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Reflection<br/>by One Gone Forth	Reflections	33n	!*	atthi pr	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=amhi"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā
paccavekkhitabba	s	ptp		paccavekkhati					should be reviewed; should be contemplated			√ikkh 1 a (to see, mark)		pati + ava + √ikkh + itabba	pratyavekṣ	√īkṣ							AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	maraṇa-dhammo’mhi, maraṇaṃ anatītoti abhiṇhaṃ <b>paccavekkhitabbaṃ</b> itthiyā vā purisena vā gahaṭṭhena vā pabbajitena vā.	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	paccavekkhitabb	a ptp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paccavekkhitabba"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
paccavekkhaṇā	ps	fem	abstr	paccavekkhati					reviewing; reflection; contemplation; thinking about; lit. looking back down			√ikkh 1 a (to see, mark)		pati + ava + √ikkh + aṇā	pratyavekṣaṇā	√īkṣ				AN 10.73	iṭṭhadhammasuttaṃ	sajjhāya-kiriyā bāhusaccassa āhāro, sussūsā paripucchā paññāya āhāro, anuyogo <b>paccavekkhaṇā</b> dhammānaṃ āhāro	Thai		pañca-abhiṇha-<b>paccavekkhaṇa</b>	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	paccavekkhaṇ	ā fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paccavekkhaṇā"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
nānā 1	ps	ind	in comps						various; different; distinct; diverse						nānā					TH 257	pārāpariyattheragāthā	“evaṃ <b>nāna</b>-ppayātamhi, na dāni sukaraṃ tathā.<br/>a’phusitaṃ vā phusituṃ, phusitaṃ v’ānurakkhituṃ.	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	sabbehi me piyehi manāpehi <b>nānā</b>-bhāvo vinābhāvo	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nānā 1"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
nānābhāva	ps	masc	comp						separation; parting; differentiation; lit. become different			& √bhū		nānā + bhāva	nānābhāva					MN 140	dhātuvibhaṅgasuttaṃ	seyyathāpi, bhikkhu, dvinnaṃ kaṭṭhānaṃ saṅghaṭṭā samodhānā usmā jāyati, tejo abhinibbattati, tesaṃ'y'eva dvinnaṃ kaṭṭhānaṃ <b>nānābhāvā</b> vikkhepā yā tajjā usmā sā nirujjhati, sā vūpasammati.	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	sabbehi me piyehi manāpehi <b>nānābhāvo</b> vinābhāvo	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	nānābhāv	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nānābhāva"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
bhāva 1	ss	masc	in comps						state; condition; characteristic; nature			√bhū 1 a (to be)		√bhū > bhav + *a	bhāva	√bhū							AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	sabbehi me piyehi manāpehi nānā-<b>bhāvo</b> vinā-<b>bhāvo</b>	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections	DN 22.18	mahāsatipaṭṭhānasuttaṃ	uppannānaṃ kusalānaṃ dhammānaṃ ṭhitiyā asammosāya bhiyyo-<b>bhāvāya</b> vepullāya bhāvanāya pāripūriyā chandaṃ janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	33n	bhāv	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhāva 1"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā Ariy’aṭṭhaṅgika-magga
vinā	s	ind	prep		neg				without					vi + nā	vinā								AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	sabbehi me piyehi manāpehi nānābhāvo <b>vinā</b>-bhāvo	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vinā"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
vinābhāva	ps	masc	abstr, comp						separation; loss; lit. state of being without			√bhū 1 a (to be)		vinā + bhāva	vinābhāva	√bhū				SNP 38	dvayatānupassanāsuttaṃ<br/>mahāvaggo 12	yena yena hi maññanti, tato taṃ hoti aññathā, <br/>etādiso <b>vinābhāvo</b>, passa lokassa pariyāyaṃ.	AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	sabbehi me piyehi manāpehi nānābhāvo <b>vinābhāvo</b>	Pañca-abhiṇha-paccavekkhaṇā	Five Subjects for Frequent Recollection	Reflections							33n	vinābhāv	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vinābhāva"">feedback</a>"	Pañca-abhiṇha-paccavekkhaṇā
dasa	ps	card	x pl						ten (10)						daśa					AN 10.8	jhānasuttaṃ	imehi kho, bhikkhave, <b>dasahi</b> dhammehi samannāgato bhikkhu samanta’pāsādiko ca hoti sabb’ākāraparipūro cā’ti.	AN 10.48	pabbajitābhiṇhasuttaṃ	<b>dasa</b> ime bhikkhave dhammā pabbajitena abhiṇhaṃ paccavekkhitabbā. katame dasa?	Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Recollection by One Who Has Gone Forth	Reflections							34n	das	a1 card	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dasa"">feedback</a>"	Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā
pabbajita 1	ps	masc	pp	pabbajati					monk; monastic; renunciant; one who has gone forth			√vaj 1 a (to go on)		pa + √vaj > baj + ita	pravrājita	√vraj				DHP 74	bālavaggo	mam’eva kata maññantu, gihī-<b>pabbajitā</b> ubho, <br/>mam’ev’ātivasā assu, kicc'ākiccesu kismici. <br/>iti bālassa saṅkappo, icchā māno ca vaḍḍhati.	AN 10.48	pabbajitābhiṇhasuttaṃ	dasa ime bhikkhave dhammā <b>pabbajitena</b> abhiṇhaṃ paccavekkhitabbā. katame dasa?	Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Recollection by One Who Has Gone Forth	Reflections							34n	pabbajit	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pabbajita 1"">feedback</a>"	Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā
katama	ps	pron	interr	ka					what?; which (of the many)?					ka + tama	katama					MN 2.2	sabbāsavasuttaṃ	<b>katame</b> ca dhammā manasikaraṇīyā ye dhamme manasi karoti? yassa dhamme manasikaroto anuppanno vā kām’āsavo na uppajjati, uppanno vā kām’āsavo pahīyati	AN 10.48	pabbajitābhiṇhasuttaṃ	dasa ime bhikkhave dhammā pabbajitena abhiṇhaṃ paccavekkhitabbā. <b>katame</b> dasa?	Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Recollection by One Who Has Gone Forth	Reflections							34n	katam	a pron	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=katama"">feedback</a>"	Dasadhammā_pabbajita-abhiṇha-paccavekkhaṇā
