Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
paridahati	p	pr					trans	+acc	wears; puts on; clothes oneself (with); lit. puts around			√dhā 1 a (to place, support)	√dhā + a > daha (irreg)	pari + daha + ti	paridhā	√dhā				DHP 9	yamakavaggo	anikkasāvo kāsāvaṃ, yo vatthaṃ <b>paridahissati</b>,<br/>apeto damasaccena, na so kāsāvam'arahati.														paridah	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paridahati"">feedback</a>"
pariddava	p	masc							mourning; lamenting; wailing; crying			√dav 1 a (to lament)		pari + √dav + a	parideva	√div	parideva			DHP 195	buddhavaggo	pūj'ārahe pūjayato, buddhe yadi va sāvake,<br/>papañca-samatikkante, tiṇṇa-soka-<b>pariddave</b>.														pariddav	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pariddava"">feedback</a>"
parinibbāti	p	pr					intrans		(of fire) is extinguished; goes out completely; is liberated			√vā 1 a (to blow, emit odour)	√vā + a > vā > bā	pari + nī + bā + ti	parinirvāti	√vā	parinibbāyati			DHP 126	pāpavaggo	gabbham'eke uppajjanti, nirayaṃ pāpakammino,<br/>saggaṃ sugatino yanti, <b>parinibbanti</b> anāsavā.														parinibb	āti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parinibbāti"">feedback</a>"
paripakka	p	pp		paripaccati					matured; developed; advanced; lit. completely ripen			√pac 1 a (to mature, ripen)		pari + √pac > pak + ta	paripakva	√pac				DHP 260	dhammaṭṭhavaggo	na tena thero so hoti, yen’assa palitaṃ siro, <br/><b>paripakko</b> vayo tassa, mogha-jiṇṇo’ti vuccati.														paripakk	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paripakka"">feedback</a>"
paripūrati	p	pr					intrans		fully matures; becomes perfect; lit. completely fulfills			√pūr 1 a (to fill, fulfil)	√pūr + a > pūra	pari + pūra + ti	paripūryate	√pṝ				DHP 38	cittavaggo	anavaṭṭhita-cittassa, saddhammaṃ avijānato,<br/>pariplava-pasādassa, paññā na <b>paripūrati</b>.														paripūr	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paripūrati"">feedback</a>"
pariplava	p	adj		pariplavati					swinging around; fluctuating; moving to and fro; unstable			√plu 1 a (to spring, swing)		pari + √plu > plav + *a	pariplava	√pru				DHP 38	cittavaggo	anavaṭṭhita-cittassa, saddhammaṃ avijānato,<br/><b>pariplava</b>-pasādassa, paññā na paripūrati.														pariplav	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pariplava"">feedback</a>"
pariphandati	p	pr					intrans		trembles; quivers; shivers; shakes; flops			√phand 1 a (to shake, quiver)	√phand + a > phanda	pari + phanda + ti	parispandate	√spand				DHP 34	cittavaggo	vārijo'va thale khitto, okam'okata'ubbhato,<br/><b>pariphandat'</b>idaṃ cittaṃ, māradheyyaṃ pahātave.														pariphand	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pariphandati"">feedback</a>"
paribbajati 1	p	pr					intrans		wanders around; roams about; lives ones life; lives the life of a homeless renunciant			√vaj 1 a (to go on)	√vaj + a > vaja > baja	pari + baja + ti	parivrajati	√vraj				DHP 346	taṇhāvaggo	etaṃ daḷhaṃ bandhanam'āhu dhīrā, ohārinaṃ sithilaṃ duppamuñcaṃ,<br/>etam'pi chetvāna <b>paribbajanti</b>, anapekkhino kāmasukhaṃ pahāya.														paribbaj	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paribbajati 1"">feedback</a>"
parimajjati 2	p	pr					trans	+acc	polishes; grooms; cleans			√majj 1 a (to clean, polish)	√majj + a > majja	pari + majja + ti	parimṛjati	√mṛj				DHP 394	brāhmaṇavaggo	kiṃ te jaṭāhi dummedha, kiṃ te ajinasāṭiyā, <br/>abbhantaraṃ te gahanaṃ, bāhiraṃ <b>parimajjasī’</b>ti.														parimajj	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parimajjati 2"">feedback</a>"
pariyodapeti 1	p	pr		pariodāti		caus	trans	+acc +abl	cleanses (from); refines (from); purifies (from); lit. causes to be pure			√dā 3 *āpe (to be pure, clean)	√dā + *āpe > dape (caus)	pari + [y] + ava + dape + ti	paryavadai	√dai				DHP 88	paṇḍitavaggo	tatr’ābhiratim’iccheyya, hitvā kāme akiñcano, <br/><b>pariyodapeyya</b> attānaṃ, cittaklesehi paṇḍito.														pariyodap	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pariyodapeti 1"">feedback</a>"
parivajjayati	pp	pr					trans	+acc	completely avoids; shuns; keeps away (from)			√vajj 8 *aya (to avoid)	√vajj + aya > vajjaya	pari + vajjaya + ti	parivarjayati	√vṛj				DHP 123	pāpavaggo	vāṇijo'va bhayaṃ maggaṃ, appasattho mahaddhano,<br/>visaṃ jīvitu'kāmo'va, pāpāni <b>parivajjaye</b>.	SNP 39	kāmasuttaṃ<br/>aṭṭhakavaggo 1	tasmā jantu sadā sato, kāmāni <b>parivajjaye</b>,<br/>te pahāya tare oghaṃ, nāvaṃ sitvā'va pāragū'ti.											parivajjay	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parivajjayati"">feedback</a>"
parivajjeti	pp	pr					trans	+acc	completely avoids; shuns; keeps away from			√vajj 8 *e (to avoid)	√vajj + e > vajje	pari + vajje + ti	parivarjayati	√vṛj				DHP 269	dhammaṭṭha vaggo	pāpāni <b>parivajjeti</b>, sa munī tena so muni. <br/>yo munāti ubho loke, “muni” tena pavuccati.	TH 223	sabbakāmi ttheragāthā	yo cetā <b>parivajjeti</b>, sappasse’va padā siro.<br/>so’maṃ visattikaṃ loke, sato samativattati. 											parivajj	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parivajjeti"">feedback</a>"
parisappati	p	pr					intrans		crawls about; wriggle about			√sapp 1 a (to crawl)	√sapp + a > sappa	pari + sappa + ti	parisarpati	√sṛp				DHP 342	taṇhāvaggo	tasiṇāya purakkhatā pajā, <b>parisappanti</b> saso'va bādhito,<br/>saṃyojanasaṅgasattakā, dukkham'upenti punappunaṃ cirāya.														parisapp	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parisappati"">feedback</a>"
parissaya	ps	masc							danger; risk; difficulty; lit. stream			√su 1 a (to flow)		pari + √su > sav > say + *a	parisrava	√sru				DHP 328	nāgavaggo	sace labhetha nipakaṃ sahāyaṃ, saddhiṃcaraṃ sādhuvihāridhīraṃ,<br/>abhibhuyya sabbāni <b>parissayāni</b>, careyya ten'attamano satīmā.	MN 2.4	sabbāsavasuttaṃ	paṭisaṅkhā yoniso sen'āsanaṃ paṭisevāmi yāva’d’eva sītassa paṭighātāya uṇhassa paṭighātāya ḍaṃsa-makasa-vāt’ātapa-siriṃsapa-samphassānaṃ paṭighātāya yāva’d’eva utu-<b>parissaya</b>-vinodanaṃ paṭisallān’ārām’atthaṃ	Cattaro_parikkhāra	The Four Requisites	Reflections							30n	parissay	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parissaya"">feedback</a>"
parihāyati 2	pp	pr					intrans	+abl	falls away (from); declines (in); lit. completely decreases			√hā 3 ya (to decrease)	√hā + ya > hāya	pari + hāya + ti	parijahāti	√hā				DHP 364	bhikkhuvaggo	dhamm’ārāmo dhammarato, dhammaṃ anuvicintayaṃ, <br/>dhammaṃ anussaraṃ bhikkhu, saddhammā na <b>parihāyati</b>.	SN 35.96	parihānadhammasuttaṃ	veditabbam’etaṃ, bhikkhave, bhikkhunā - ‘<b>parihāyāmi</b> kusalehi dhammehi’. parihānañ’h’etaṃ vuttaṃ bhagavatā’ti											parihāy	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parihāyati 2"">feedback</a>"
pare 3	p	pron	masc nom pl	para					others; other people					para + e	parāḥ					DHP 6	yamakavaggo	<b>pare</b> ca na vijānanti, mayam'ettha yamāmase,<br/>ye ca tattha vijānanti, tato sammanti medhagā.														par	a pron	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pare 3"">feedback</a>"
paligha	pp	masc							cross-bar; bolt; bar; obstacle			√ghaṭ 8 *e (to strike, kill)		pari > pali + √ghaṭ + a	parigha	√han √ghaṭ		(SNa) palighan'ti rāgadosamohapaligham'eva.		DHP 398	brāhmaṇavaggo	chetvā naddhiṃ varattañ'ca, sandānaṃ sah'anukkamaṃ,<br/>ukkhitta-<b>palighaṃ</b> buddhaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.	SN 1.37	samayasuttaṃ	chetvā khīlaṃ chetvā <b>palighaṃ</b>,<br/>indakhīlaṃ ūhacca manejā,<br/>te caranti suddhā vimalā,<br/>cakkhumatā sudantā susunāgā'ti.											paligh	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paligha"">feedback</a>"
palita 1	p	adj							grey; hoary						palita					DHP 260	dhammaṭṭhavaggo	na tena thero so hoti, yen’assa <b>palitaṃ</b> siro, <br/>paripakko vayo tassa, moghajiṇṇo’ti vuccati.														palit	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=palita 1"">feedback</a>"
palipatha	p	masc		patha					obstacle; obstruction; blockage; ambush			√path 1 a (to go, move)		pari > pali + √path + a<br/>pali + patha	paripantham	√path √panth	paripantha			DHP 414	brāhmaṇavaggo	yo'maṃ <b>palipathaṃ</b> duggaṃ, saṃsāraṃ moham'accagā,<br/>tiṇṇo pāragato jhāyī, anejo akathaṃkathī,<br/>anupādāya nibbuto, tam'ahaṃ brūmi brāhmaṇaṃ.														palipath	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=palipatha"">feedback</a>"
paleti	p	pr					intrans		runs along; runs away; flees; goes away			√pal 8 *e (to run away, flee)	√pal + e > pale	pale + ti	palāyate	√palāy	palāyati			DHP 49	pupphavaggo	yathā'pi bhamaro pupphaṃ, vaṇṇagandham'aheṭhayaṃ,<br/><b>paleti</b> rasam'ādāya, evaṃ gāme munī care.														pal	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paleti"">feedback</a>"
pallala	ps	nt							lake; pond; marsh						palvala					DHP 155	jarāvaggo	acaritvā brahmacariyaṃ, aladdhā yobbane dhanaṃ,<br/>jiṇṇakoñcā'va jhāyanti, khīṇamacche'va <b>pallale</b>.	DHP 91	arahantavaggo	uyyuñjanti satīmanto, na nikete ramanti te, <br/>haṃsā’va <b>pallalaṃ</b> hitvā, okam’okaṃ jahanti te.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							15n	pallal	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pallala"">feedback</a>"
pavāyati	p	pr				pass	intrans		(of scent) wafts; diffuses; radiates; lit. blows forth			√vā 1 ya (to blow, emit odour)	√vā + a > vāya (pass)	pa + vāya + ti	pravāti	√vā				DHP 54	pupphavaggo	na pupphagandho paṭivātam'eti, na candanaṃ tagara-mallikā,<br/>satañ'ca gandho paṭivātam'eti, sabbā disā sappuriso <b>pavāyati</b>.														pavāy	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pavāyati"">feedback</a>"
pavāsī	p	masc	agent	pavasati					who lives abroad; who lives away from home			√vas 1 a (to live)		pa + √vas > vās + *ī	pravāsin	√vas				DHP 219	piyavaggo	cira-<b>ppavāsiṃ</b> purisaṃ, dūrato sotthim'āgataṃ,<br/>ñātimittā suhajjā ca, abhinandanti āgataṃ.														pavās	ī masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pavāsī"">feedback</a>"
pavivekarasa	p	masc	comp						flavour of solitude; the nectar of seclusion					paviveka + rasa	praviveka + rasa					DHP 205	sukhavaggo	<b>pavivekarasaṃ</b> pitvā, rasaṃ upasamassa ca,<br/>niddaro hoti nippāpo, dhammapītirasaṃ pivaṃ.														pavivekaras	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pavivekarasa"">feedback</a>"
pavissa	p	ger		pavisati			trans	+acc	entering; going (into)			√vis 1 a (to enter)		pa + √vis + ya	praviśya	√viś				DHP 127	pāpavaggo	na antalikkhe na samuddamajjhe, na pabbatānaṃ vivaraṃ <b>pavissa</b>. <br/>na vijjatī so jagati-ppadeso, yattha-ṭṭhito mucceyya pāpakammā.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pavissa"">feedback</a>"
pavuccati	pp	pr		pavacati		pass	intrans		is called; said; or pronounced			√vac 1 ya (to speak, say)	√vac > vuc + ya > vucca (pass)	pa + vucca + ti	pra + ucyate	√vac				DHP 269	dhammaṭṭha vaggo	pāpāni parivajjeti, sa munī tena so muni. <br/>yo munāti ubho loke, “muni” tena <b>pavuccati</b>.	DHP 261	dhammaṭṭhavaggo	yamhi saccañ’ca dhammo ca, ahiṃsā saṃyamo damo. <br/>sa ve vantamalo dhīro, thero iti <b>pavuccatī</b>”ti.											pavucc	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pavuccati"">feedback</a>"
pavedayati	p	pr				caus	trans	+acc	teaches; preaches; makes known (to); communicates (to)			√vid 1 *aya (to know)	√vid + *aya > vedaya (caus)	pa + vedaya + ti	pravedayati	√vid	pavedeti			DHP 151	jarāvaggo	jīranti ve rājarathā sucittā, atho sarīram'pi jaraṃ upeti,<br/>satañ'ca dhammo na jaraṃ upeti, santo have sabbhi <b>pavedayanti</b>.														paveday	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pavedayati"">feedback</a>"
pasanna 1	p	adj	pp	pasīdati					bright; clear; pure; lit. settled			√sad 1 a (to sink, sit, settle)		pa + √sad + na	prasanna	√sad				DHP 2	yamakavaggo	mano-pubbaṅ’gamā dhammā, mano-seṭṭhā mano-mayā. <br/>manasā ce <b>pasannena</b>, bhāsati vā karoti vā. <br/>tato naṃ sukham’anveti, chāyā’va anapāyinī														pasann	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasanna 1"">feedback</a>"
pasanna 3	p	pp		pasīdati				+loc	pleased (with); full of faith (in); devoted (to); lit. settled (in)			√sad 1 a (to sink, sit, settle)		pa + √sad + na	prasanna	√sad				DHP 381	bhikkhuvaggo	pāmojjabahulo bhikkhu, <b>pasanno</b> buddhasāsane,<br/>adhigacche padaṃ santaṃ, saṅkhār'ūpasamaṃ sukhaṃ.														pasann	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasanna 3"">feedback</a>"
pasahati	p	pr					trans	+acc	overcomes; overpowers; conquers			√sah 1 a (to overcome, prevail)	√sah + a > saha	pa + saha + ti	prasahate	√sah				DHP 7	yamakavaggo	subh'ānupassiṃ viharantaṃ, indriyesu asaṃvutaṃ,<br/>bhojanamhi c'āmattaññuṃ, kusītaṃ hīnavīriyaṃ,<br/>taṃ ve <b>pasahati</b> māro, vāto rukkhaṃ'va dubbalaṃ.														pasah	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasahati"">feedback</a>"
pasaṃsā	pp	fem		pasaṃsati					praise; approval; commendation			√saṃs 1 a (to proclaim, praise)		pa + √saṃs + ā	praśaṃsā	√śaṃs				DHP 81	paṇḍitavaggo	selo yathā ekaghano, vātena na samīrati, <br/>evaṃ nindā-<b>pasaṃsāsu</b>, na samiñjanti paṇḍitā.	TH 245	godattattheragāthā	dummedhehi <b>pasaṃsā</b> ca, viññūhi garahā ca yā, <br/>garahāva seyyo viññūhi, yaṃ ce bālappasaṃsanā.											pasaṃs	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasaṃsā"">feedback</a>"
pasaṃsita	pp	pp		pasaṃsati				+instr	praised (by); commended (by); lauded (by)			√saṃs 1 a (to proclaim, praise)		pa + √saṃs + ita	praśaṃsita	√śaṃs				DHP 228	kodhavaggo	na c'āhu na ca bhavissati, na c'eta'r'ahi vijjati,<br/>ek'antaṃ nindito poso, ek'antaṃ vā <b>pasaṃsito</b>.	DHP 230	kodhavaggo	nikkhaṃ jambonadass'eva, ko taṃ ninditum'arahati,<br/>devā'pi naṃ pasaṃsanti, brahmunā'pi <b>pasaṃsito</b>.											pasaṃsit	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasaṃsita"">feedback</a>"
pasādana	p	nt		pasādeti		caus			inspiration; confidence; what pleases one; what makes one happy			√sad 1 *e (to sink, sit, settle)	√sad + *e > sāde (caus)	pa + sāde + ana	prasādana	√sad				DHP 249	malavaggo	dadāti ve yathāsaddhaṃ, yathā-<b>pasādanaṃ</b> jano,<br/>tattha yo maṅku bhavati, paresaṃ pānabhojane,<br/>na so divā vā rattiṃ vā, samādhim'adhigacchati.														pasādan	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasādana"">feedback</a>"
pasu	pp	masc							domestic animal; livestock; farm animal						paśu					DHP 287	maggavaggo	taṃ putta<b>-pasu</b>-sammattaṃ, byāsattamanasaṃ naraṃ,<br/>suttaṃ gāmaṃ mah'ogho'va, maccu ādāya gacchati.	SN 1.28	mahaddhanasuttaṃ	hitvā agāraṃ pabbajitā,<br/>hitvā puttaṃ <b>pasuṃ</b> viyaṃ,<br/>hitvā rāgañ'ca dosañ'ca											pas	u masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasu"">feedback</a>"
pasuta 1	ps	adj						+loc	looking (for); pursuing; intent upon; engaged (in); engrossed (by); occupied (with)			√si 5 nā (to bind)		pa + √si + ta	prasita	√ṣi		(SNPa) pariyesan'ādi'm'anuyuttattā pasutā		DHP 166	attavaggo	atta'd'atthaṃ par’atthena, bahunā’pi na hāpaye, <br/>atta'd'attham’abhiññāya, sadattha-<b>pasuto</b> siyā.	KHP 7	tirokuṭṭasuttaṃ	so ñātidhammo ca ayaṃ nidassito, petāna’pūjā ca katā uḷārā. balañ’ca bhikkhūnam’anuppadinnaṃ, tumhehi puññaṃ <b>pasutaṃ</b> anappakan’ti.	Adāsi-me_ādi_gāthā		Funeral Chants							66n	pasut	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasuta 1"">feedback</a>"
passe	pp	opt		passati			trans	+acc	could see; should regard			√dis 1 a (to see)	√dis + a > passa (irreg)	passa + e(yya)	dṛśeyam	√dṛś				DHP 76	paṇḍitavaggo	nidhīnaṃ’va pavattāraṃ, yaṃ <b>passe</b> vajjadassinaṃ, <br/>niggayhavādiṃ medhāviṃ, tādisaṃ paṇḍitaṃ bhaje, <br/>tādisaṃ bhajamānassa, seyyo hoti na pāpiyo.	DHP 290	pakiṇṇakavaggo	mattāsukha-pariccāgā, <b>passe</b> ce vipulaṃ sukhaṃ,<br/>caje mattāsukhaṃ dhīro, sampassaṃ vipulaṃ sukhaṃ.											!	passati	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=passe"">feedback</a>"
pahantvāna 1	p	abs		pahanati			trans	+acc	having destroyed; having put an end to; having terminated			√han 1 a (to strike, kill)		pa + √han + tvāna	prahantvāya	√han			see pahantvāna 2	DHP 243	malavaggo	tato malā malataraṃ, avijjā paramaṃ malaṃ,<br/>etaṃ malaṃ <b>pahantvāna</b>, nimmalā hotha bhikkhavo.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pahantvāna 1"">feedback</a>"
pahantvāna 2	pp	abs		pajahati			trans	+acc	having given up; having abandoned; having let go			√hā 1 a (to abandon)		pa + √hā > han + tvāna	prahā	√hā	pahatvāna		see pahantvāna 1	DHP 243	malavaggo	tato malā malataraṃ, avijjā paramaṃ malaṃ,<br/>etaṃ malaṃ <b>pahantvāna</b>, nimmalā hotha bhikkhavo.	DHP 415	brāhmaṇavaggo	yo'dha kāme <b>pahantvāna</b>, anāgāro paribbaje,<br/>kāmabhavaparikkhīṇaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.											-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pahantvāna 2"">feedback</a>"
pahātave	p	inf		pajahati			trans	+acc	to give up; to leave; to abandon			√hā 1 a (to abandon)		pa + √hā + tave	prahātavai	√hā				DHP 34	cittavaggo	vārijo'va thale khitto, okam'okata'ubbhato,<br/>pariphandat'idaṃ cittaṃ, māradheyyaṃ <b>pahātave</b>.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pahātave"">feedback</a>"
pahīnamāna	pp	adj	comp						who has removed conceit; who has abandoned egotism; who has lost the tendency to compare					pahīna + māna	prajahita + māna					DHP 94	arahantavaggo	yass'indriyāni samathaṅ'gatāni, assā yathā sārathinā sudantā,<br/><b>pahīnamānassa</b> anāsavassa, devā'pi tassa pihayanti tādino.	SN 1.25	arahantasuttaṃ	<b>pahīnamānassa</b> na santi ganthā,<br/>vidhūpitā mānaganth'assa sabbe											pahīnamān	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pahīnamāna"">feedback</a>"
pājeti	p	pr				caus	trans	+acc	drives on (to); urges on (to); lit. causes to go			√aj 1 *e (to go, drive)	√aj + *e > āje (caus)	pa + āje + ti	pra + ajati	√aj				DHP 135	daṇḍavaggo	yathā daṇḍena gopālo, gāvo <b>pājeti</b> gocaraṃ,<br/>evaṃ jarā ca maccu ca, āyuṃ <b>pājenti</b> pāṇinaṃ.														pāj	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pājeti"">feedback</a>"
pātita	p	pp		pāteti		caus			cast down; dropped; felled; destroyed; lit. caused to fall			√pat 1 *e (to fall)	√pat + *e > pāte (caus)	pāte + ita	pātita	√pat				DHP 407	brāhmaṇavaggo	yassa rāgo ca doso ca, māno makkho ca <b>pātito</b>,<br/>sāsapo'r'iva ār'aggā, tam'ahaṃ brūmi brāhmaṇaṃ.														pātit	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pātita"">feedback</a>"
