bhikkhupātimokkhapāḷi	pos	grammar	+case	tamil	meaning	lit. meaning	root	rt gp	sign	base	construction	compound type	compound construction	abbrev	source	sentence	aṭṭhakathā	feedback
māso	noun	masc nom sg of māsa			month		√mā (measure)	1	a		√mā + sa			NP 24	vassikasāṭikasikkhāpadaṃ	<b>māso</b> seso gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, addhamāso seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=māso"">feedback</a>"
seso	adj	masc nom sg of sesa			remaining		√sis (remain)	8	*e		√sis > ses + *a			NP 24	vassikasāṭikasikkhāpadaṃ	māso <b>seso</b> gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, addhamāso seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=seso"">feedback</a>"
- gimhānaṃ	noun	masc gen pl of gimha			of the hot (months)									NP 24	vassikasāṭikasikkhāpadaṃ	māso seso <b>gimhānan</b>'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, addhamāso seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- gimhānaṃ"">feedback</a>"
vassikasāṭikacīvaraṃ	noun	nt nom sg of vassikasāṭikacīvara			rains cloth						vassika + sāṭika + cīvara	dative tappurisa	vassikasāṭikāya + cīvara	NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā <b>vassikasāṭikacīvaraṃ</b> pariyesitabbaṃ, addhamāso seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=vassikasāṭikacīvaraṃ"">feedback</a>"
- vassika	adj	from vassa			related to the rainy season		√vass (rain)	1	a		√vass + a + ika			NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā <b>vassika</b>sāṭikacīvaraṃ pariyesitabbaṃ, addhamāso seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- vassika"">feedback</a>"
- sāṭikā	noun	fem, from sāṭa			cloth, garment						sāṭa + ika			NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā vassika<b>sāṭika</b>cīvaraṃ pariyesitabbaṃ, addhamāso seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- sāṭikā"">feedback</a>"
pariyesitabbaṃ	ptp	nt nom sg of pariyesitabba			can be looked for		√es (seek, search)	1	a		pari + [y] + √es + itabba			NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ <b>pariyesitabbaṃ</b>, addhamāso seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=pariyesitabbaṃ"">feedback</a>"
addhamāso	noun	masc nom sg of addhamāsa			half a month						addha + māsa	kammadhāraya	addha + māsa	NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, <b>addhamāso</b> seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=addhamāso"">feedback</a>"
- addha	adj				half									NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, <b>addha</b>māso seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- addha"">feedback</a>"
- māso	noun	masc nom sg of māsa			month		√mā (measure)	1	a		√mā + sa			NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, addha<b>māso</b> seso gimhānan'ti katvā nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- māso"">feedback</a>"
katvā	verb	abs of karoti			having made	having done	√kar (do, make)	7	o		√kar + tvā			NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, addhamāso seso gimhānan'ti <b>katvā</b> nivāsetabbaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=katvā"">feedback</a>"
nivāsetabbaṃ	ptp	nt nom sg of nivāsetabba			to be worn		√vas (wear)	8	*e	√vas + *e > vāse	ni + vāse + tabba			NP 24	vassikasāṭikasikkhāpadaṃ	māso seso gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, addhamāso seso gimhānan'ti katvā <b>nivāsetabbaṃ</b>.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=nivāsetabbaṃ"">feedback</a>"
orenaddhamāso	noun	masc nom sg of orenaddhamāsa			sooner than half a month	before half month					orena + addhamāsa			NP 24	vassikasāṭikasikkhāpadaṃ	orena ce māso seso gimhānan'ti vassikasāṭikacīvaraṃ pariyeseyya, <b>orenaddhamāso</b> seso gimhānan'ti katvā nivāseyya, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=orenaddhamāso"">feedback</a>"
- orena	ind	adv, instr sg of ora			before; sooner than									NP 24	vassikasāṭikasikkhāpadaṃ	orena ce māso seso gimhānan'ti vassikasāṭikacīvaraṃ pariyeseyya, <b>orena</b>ddhamāso seso gimhānan'ti katvā nivāseyya, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- orena"">feedback</a>"
- addhamāso	noun	masc nom sg of addhamāsa			half a month						addha + māsa	kammadhāraya	addha + māsa	NP 24	vassikasāṭikasikkhāpadaṃ	orena ce māso seso gimhānan'ti vassikasāṭikacīvaraṃ pariyeseyya, oren<b>addhamāso</b> seso gimhānan'ti katvā nivāseyya, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- addhamāso"">feedback</a>"
nivāseyya	verb	opt 3rd sg of nivāseti			he would wear		√vas (wear)	8	*e	√vas + *e > vāse	ni + vāse + ti			NP 24	vassikasāṭikasikkhāpadaṃ	orena ce māso seso gimhānan'ti vassikasāṭikacīvaraṃ pariyeseyya, orenaddhamāso seso gimhānan'ti katvā <b>nivāseyya</b>, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=nivāseyya"">feedback</a>"
datvā	verb	abs of dadāti, deti			having given		√dā (give)	1	a		√dā + tvā			NP 25	cīvaraacchindanasikkhāpadaṃ	yo pana bhikkhu bhikkhussa sāmaṃ cīvaraṃ <b>datvā</b> kupito anattamano acchindeyya vā acchindāpeyya vā, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=datvā"">feedback</a>"
kupito	pp	masc nom sg of kuppati			angered, upset, annoyed	shaken	√kup (shake, be angry)	3	ya		√kup + ita			NP 25	cīvaraacchindanasikkhāpadaṃ	yo pana bhikkhu bhikkhussa sāmaṃ cīvaraṃ datvā <b>kupito</b> anattamano acchindeyya vā acchindāpeyya vā, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=kupito"">feedback</a>"
anattamano	adj	masc nom sg of anattamana			displeased, annoyed, unhappy	not own mind					na + atta + mana	kammadhāraya	na + attamana	NP 25	cīvaraacchindanasikkhāpadaṃ	yo pana bhikkhu bhikkhussa sāmaṃ cīvaraṃ datvā kupito <b>anattamano</b> acchindeyya vā acchindāpeyya vā, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=anattamano"">feedback</a>"
acchindeyya	verb	opt 3rd sg of acchindati			he would snatch	tears back	√chid (cut, steal)	2	ṃa	√chid + ṃa > chinda	ā + chinda + ti			NP 25	cīvaraacchindanasikkhāpadaṃ	yo pana bhikkhu bhikkhussa sāmaṃ cīvaraṃ datvā kupito anattamano <b>acchindeyya</b> vā acchindāpeyya vā, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=acchindeyya"">feedback</a>"
acchindāpeyya	verb	opt 3rd sg of acchindāpeti			he would make someone snatch	causes to tear back	√chid (cut, steal)	2	*āpe	√chid + ṃa + āpe > chindāpe	ā + chindāpe + ti			NP 25	cīvaraacchindanasikkhāpadaṃ	yo pana bhikkhu bhikkhussa sāmaṃ cīvaraṃ datvā kupito anattamano acchindeyya vā <b>acchindāpeyya</b> vā, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=acchindāpeyya"">feedback</a>"
suttaṃ	noun	nt acc sg of sutta			thread		√siv (sew)	3	ya		√siv > suv + ta			NP 26	suttaviññattisikkhāpadaṃ	yo pana bhikkhu sāmaṃ <b>suttaṃ</b> viññāpetvā tantavāyehi cīvaraṃ vāyāpeyya, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=suttaṃ"">feedback</a>"
viññāpetvā	verb	abs of viññāpeti	+acc		having requested		√ñā (know)	5	*āpe	√ñā + āpe > ñāpe	vi + ñāpe + tvā			NP 26	suttaviññattisikkhāpadaṃ	yo pana bhikkhu sāmaṃ suttaṃ <b>viññāpetvā</b> tantavāyehi cīvaraṃ vāyāpeyya, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=viññāpetvā"">feedback</a>"
tantavāyehi	noun	masc instr pl of tantavāya			by weavers						tanta + vāya	accusative tappurisa	tant<b>aṃ</b> + vāya	NP 26	suttaviññattisikkhāpadaṃ	yo pana bhikkhu sāmaṃ suttaṃ viññāpetvā <b>tantavāyehi</b> cīvaraṃ vāyāpeyya, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=tantavāyehi"">feedback</a>"
- tanta	noun	nt, pp of tanoti			thread	stretched	√tan (stretch)	7	o		√tan + ta			NP 26	suttaviññattisikkhāpadaṃ	yo pana bhikkhu sāmaṃ suttaṃ viññāpetvā <b>tanta</b>vāyehi cīvaraṃ vāyāpeyya, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- tanta"">feedback</a>"
- vāyehi	noun	masc instr pl of vāya			by weaving		√ve (weave)	1	a		√ve > vāy + *a			NP 26	suttaviññattisikkhāpadaṃ	yo pana bhikkhu sāmaṃ suttaṃ viññāpetvā tanta<b>vāyehi</b> cīvaraṃ vāyāpeyya, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- vāyehi"">feedback</a>"
vāyāpeyya	verb	opt 3rd sg of vāyāpeti, caus of vāyati			he would make weave		√ve (weave)	1	a	√ve + *āpe > vāyāpe	vāyāpe + ti			NP 26	suttaviññattisikkhāpadaṃ	yo pana bhikkhu sāmaṃ suttaṃ viññāpetvā tantavāyehi cīvaraṃ <b>vāyāpeyya</b>, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=vāyāpeyya"">feedback</a>"
tantavāye	noun	masc acc pl of tantavāya			weavers						tanta + vāya	accusative tappurisa	tantaṃ + vāya	NP 27	mahāpesakārasikkhāpadaṃ	tatra ce so bhikkhu pubbe appavārito <b>tantavāye</b> upasaṅkamitvā cīvare vikappaṃ āpajjeyya, idaṃ kho, āvuso, cīvaraṃ maṃ uddissa viyyati		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=tantavāye"">feedback</a>"
viyyati	verb	pr 3rd sg, pass of vāyati			it is woven		√vā	1	ya	√vā + iya > vīya	vīya + ti			NP 27	mahāpesakārasikkhāpadaṃ	tatra ce so bhikkhu pubbe appavārito tantavāye upasaṅkamitvā cīvare vikappaṃ āpajjeyya, idaṃ kho, āvuso, cīvaraṃ maṃ uddissa <b>viyyati</b>		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=viyyati"">feedback</a>"
- āyataṃ	adj	nt acc sg of āyata			long	stretched	√yam (control)	1	a		ā + √yam + ta			NP 27	mahāpesakārasikkhāpadaṃ	<b>āyatañ</b>'ca karotha, vitthatañ'ca, appitañ'ca, suvītañ'ca, suppavāyitañ'ca, suvilekhitañ'ca, suvitacchitañ'ca karotha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- āyataṃ"">feedback</a>"
karotha	verb	imp 2nd pl of karoti			you all make		√kar (do, make)	7	o	√kar + o > karo	karo + ti			NP 27	mahāpesakārasikkhāpadaṃ	āyatañ'ca <b>karotha</b>, vitthatañ'ca, appitañ'ca, suvītañ'ca, suppavāyitañ'ca, suvilekhitañ'ca, suvitacchitañ'ca karotha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=karotha"">feedback</a>"
- vitthataṃ	adj	nt acc sg of vitthata			wide, broad	spread	√thar (spread, expand)	1	a		vi + √thar + ta			NP 27	mahāpesakārasikkhāpadaṃ	āyatañ'ca karotha, <b>vitthatañ'</b>ca, appitañ'ca, suvītañ'ca, suppavāyitañ'ca, suvilekhitañ'ca, suvitacchitañ'ca karotha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- vitthataṃ"">feedback</a>"
- appitaṃ	adj	nt acc sg of appita			thick		√ar (move, attain)	1	*āpe	√ar + āpe > appe	appe + ita			NP 27	mahāpesakārasikkhāpadaṃ	āyatañ'ca karotha, vitthatañ'ca, <b>appitañ</b>'ca, suvītañ'ca, suppavāyitañ'ca, suvilekhitañ'ca, suvitacchitañ'ca karotha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- appitaṃ"">feedback</a>"
- suvītaṃ	adj	nt acc sg of suvīta			evenly woven	well woven	√ve (weave)	1	a		su + √ve + ita			NP 27	mahāpesakārasikkhāpadaṃ	āyatañ'ca karotha, vitthatañ'ca, appitañ'ca, <b>suvītañ</b>'ca, suppavāyitañ'ca, suvilekhitañ'ca, suvitacchitañ'ca karotha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- suvītaṃ"">feedback</a>"
- suppavāyitaṃ	adj	nt acc sg of suppavāyita			tightly woven	well woven	√ve (weave)	1	a	√ve + a > vāya	su + pa + vāya + ita			NP 27	mahāpesakārasikkhāpadaṃ	āyatañ'ca karotha, vitthatañ'ca, appitañ'ca, suvītañ'ca, <b>suppavāyitañ</b>'ca, suvilekhitañ'ca, suvitacchitañ'ca karotha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- suppavāyitaṃ"">feedback</a>"
- suvilekhitaṃ	adj	nt acc sg of suvilekhita			well combed	well scraped	√likh (scratch)	1	*e	√likh + *e > lekhe	lekhe + ita			NP 27	mahāpesakārasikkhāpadaṃ	āyatañ'ca karotha, vitthatañ'ca, appitañ'ca, suvītañ'ca, suppavāyitañ'ca, <b>suvilekhitañ</b>'ca, suvitacchitañ'ca karotha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- suvilekhitaṃ"">feedback</a>"
- suvitacchitaṃ	adj	nt acc sg of suvitacchita			well brushed, well cleaned	well cut	√tacch (cut, chop)	1	a		su + vi + √tacch + ita			NP 27	mahāpesakārasikkhāpadaṃ	āyatañ'ca karotha, vitthatañ'ca, appitañ'ca, suvītañ'ca, suppavāyitañ'ca, suvilekhitañ'ca, <b>suvitacchitañ</b>'ca karotha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- suvitacchitaṃ"">feedback</a>"
- mayaṃ	pron	1st nom pl of ahaṃ			I	we								NP 27	mahāpesakārasikkhāpadaṃ	app'eva nāma <b>mayam</b>'pi āyasmantānaṃ kiñcimattaṃ anupadajjeyyāmā'ti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- mayaṃ"">feedback</a>"
āyasmantānaṃ	noun	masc dat pl of āyasmantu			to the venerables, for the the good men	for the long lived					āyus + mantu			NP 27	mahāpesakārasikkhāpadaṃ	app'eva nāma mayam'pi <b>āyasmantānaṃ</b> kiñcimattaṃ anupadajjeyyāmā'ti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=āyasmantānaṃ"">feedback</a>"
kiñcimattaṃ	noun	nt acc sg of kiṃcimatta			something small, a small thing						kiñci + matta	kammadhāraya	kiñci + matta	NP 27	mahāpesakārasikkhāpadaṃ	app'eva nāma mayam'pi āyasmantānaṃ <b>kiñcimattaṃ</b> anupadajjeyyāmā'ti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=kiñcimattaṃ"">feedback</a>"
- kiñci	pron	nt acc sg of kaci			something						ka + ci			NP 27	mahāpesakārasikkhāpadaṃ	app'eva nāma mayam'pi āyasmantānaṃ <b>kiñci</b>mattaṃ anupadajjeyyāmā'ti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- kiñci"">feedback</a>"
- anupadajjeyyāma	verb	opt 1st pl of anupadajjeyya			we could give		√dā (give)	1	a	√dā + dā + a > dajja	anu + pa + dajja + eyya			NP 27	mahāpesakārasikkhāpadaṃ	app'eva nāma mayam'pi āyasmantānaṃ kiñcimattaṃ <b>anupadajjeyyāmā</b>'ti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- anupadajjeyyāma"">feedback</a>"
vatvā	verb	abs of vadati			having said		√vad (speak)	1	a		√vad + tvā			NP 27	mahāpesakārasikkhāpadaṃ	evañ'ca so bhikkhu <b>vatvā</b> kiñcimattaṃ anupadajjeyya antamaso piṇḍapātamattam'pi, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=vatvā"">feedback</a>"
anupadajjeyya	verb	opt 3rd sg of anupadajjeyya			he would give		√dā (give)	1	a	√dā + dā + a > dajja	anu + pa + dajja + eyya			NP 27	mahāpesakārasikkhāpadaṃ	evañ'ca so bhikkhu vatvā kiñcimattaṃ <b>anupadajjeyya</b> antamaso piṇḍapātamattam'pi, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=anupadajjeyya"">feedback</a>"
- piṇḍapātamattaṃ	noun	masc acc sg of piṇḍapātamatta			bit of alms food, small piece of food						piṇḍapāta + matta	genitive tappurisa	piṇḍapātassa + matta	NP 27	mahāpesakārasikkhāpadaṃ	evañ'ca so bhikkhu vatvā kiñcimattaṃ anupadajjeyya antamaso <b>piṇḍapātamattam'pi</b>, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- piṇḍapātamattaṃ"">feedback</a>"
- - piṇḍapāta	noun	masc			alms food	lump dropping					piṇḍa + pāta	accusative tappurisa	piṇḍaṃ + pāta	NP 27	mahāpesakārasikkhāpadaṃ	evañ'ca so bhikkhu vatvā kiñcimattaṃ anupadajjeyya antamaso <b>piṇḍapāta</b>mattam'pi, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- - piṇḍapāta"">feedback</a>"
- - - piṇḍa	noun	masc			lump, bit, ball									NP 27	mahāpesakārasikkhāpadaṃ	evañ'ca so bhikkhu vatvā kiñcimattaṃ anupadajjeyya antamaso <b>piṇḍa</b>pātamattam'pi, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- - - piṇḍa"">feedback</a>"
- - - pāta	noun	masc			drop, fall	cause to fall	√pat (fall)	1	*e	√pat + *e > pāte	pāte + a			NP 27	mahāpesakārasikkhāpadaṃ	evañ'ca so bhikkhu vatvā kiñcimattaṃ anupadajjeyya antamaso piṇḍa<b>pāta</b>mattam'pi, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- - - pāta"">feedback</a>"
- - mattaṃ	adj	masc acc sg of matta			simple, mere, just, only		√mā (measure)	4	ṇā		√mā + tta			NP 27	mahāpesakārasikkhāpadaṃ	evañ'ca so bhikkhu vatvā kiñcimattaṃ anupadajjeyya antamaso piṇḍapāta<b>mattam</b>'pi, nissaggiyaṃ pācittiyaṃ.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- - mattaṃ"">feedback</a>"
dasāhānāgataṃ	adj	fem acc sg of dasāhānāgata			ten days before	ten days in the future					dasa + aha + anāgata	kammadhāraya	dasāha + anāgata	NP 28	accekacīvarasikkhāpadaṃ	<b>das'āh'ānāgataṃ</b> kattikatemāsikapuṇṇamaṃ bhikkhuno pan'eva accekacīvaraṃ uppajjeyya, accekaṃ maññamānena bhikkhunā paṭiggahetabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=dasāhānāgataṃ"">feedback</a>"
