pali_1,pos,meaning_1,root,pattern,sbs_class
samatha 1.1,masc,stilling (of); serenity (of); calming (of); settling (of); peace (of); (comm) mental unification,√sam 1,a masc,2
samanupassati 2,pr,regards; considers; recognises (as); sees (as),√dis 1,ati pr,3
samanupassanta,prp,seeing; perceiving,√dis 1,anta prp,10
samanupassituṃ,inf,to see (as); to regard (as); to consider (as),√dis 1,,9
samannāgata,pp,possessing; endowed (with); having,√gam,a pp,11
samaya 1.1,masc,time; occasion,√i 1,a masc,2
samādapeti,pr,arouses; incites; instigates; encourages,√ādā,eti pr,14
samādapetvā,abs,having aroused; having encouraged,√ādā,,14
samādāya 2,ger,undertaking; taking up; accepting,√ādā,,8
samādhi 1,masc,perfect peace of mind; stability of mind; stillness of mind; mental composure,√dhā,i masc,4
samādhiyati,pr,is calmed (for); becomes collected (for); becomes composed (for); becomes stable (for),√dhā,ati pr,13
samāpajjati 2,pr,engages (in); practices; performs,√pad,ati pr,4
samāpatti 1,fem,attainment; meditation attainment,√pad,i fem,8
samāhita 1,pp,composed; centred; settled; collected,√dhā,a pp,11
samiñjita 2,pp,bent back; folded back; flexed back,√iñj,a pp,11
samuttejetvā,abs,having fired up; having enthused,√tij 1,,14
samudaya 1,masc,source; origination; appearance,√i 1,a masc,2
samudācarati 2.1,pr,overwhelms; assails; assaults; (comm) occurs,√car 1,ati pr,3
samudda,masc,sea; ocean,√ud,a masc,2
sameti 1.1,pr,calms down; settles; stills; makes subside,√sam 1,eti pr,14
sameti 2.2,pr,agrees (with); matches (with); fits (with); fits in (with),√i 1,eti pr,14
sampajāna 1,adj,clearly aware; fully knowing; completely comprehending,√ñā,a adj,11
sampassamāna,prp,seeing; observing; considering,√dis 1,māna prp,10
sampahaṃsetvā,abs,having delighted; having pleased; having thrilled,√haṃs,,14
sambuddha 1,masc,Awakened One; Buddha; who is wide awake; who has completely understood,√budh,a masc,5
sambodha,masc,full awakening; perfect understanding; enlightenment,√budh,a masc,2
sammā 1,ind,completely; thoroughly; fully; totally,,,13
sammā 2,ind,perfectly; rightly; correctly; properly,,,13
sammodi,aor,greeted; exchanged pleasantries; had a friendly conversation (with),√mud,i aor,4
sayaṃ,ind,by one’s own; oneself; one’s own,,,13
sara 2.1,masc,sound; voice; tone,√sar 3,a masc,2
saraṇa 2.1,nt,shelter; refuge; help,√sar 1,a nt,9
sarīra 1,nt,body,,a nt,9
sassata,adj,eternal; everlasting; endless; perpetual; (comm) existing forever,,a adj,11
saha 1.2,ind,with; together (with); accompanied (by),,,5
sahassa 1,card,one thousand (1000),,a2 card,12
sahāya,masc,friend; companion; ally; fellow traveller,,a masc,2
saṃyojana 1,nt,fetter; chain; bond; thing which binds,√yuj,a nt,9
saṃvattati,pr,leads (to); results (in); causes,√vatt,ati pr,3
saṃvara 1,masc,control (according to); restraint (according to); holding back (according to),√var 1,a masc,2
saṃvara 2,masc,control (over); restraint (of); holding back (of),√var 1,a masc,2
saṃvijjamāna,prp,existing (in); being found (in),√vid 6,māna prp,13
sākhā 1,fem,branch,,ā fem,7
sāttha,adj,in meaning; in spirit; (or) with meaning; meaningful,√ar,a adj,11
sādiyati 1,pr,consents (to); accepts; agrees (to); permits,√sād,ati pr,14
sādhu 3,ind,it is good (for); it would be good (if),√sādh,,13
sādhukaṃ,ind,well; carefully; thoroughly; fully; completely,√sādh,,13
sāmika 1,masc,owner,,a masc,2
sāyitvā,abs,having tasted,√sāy,,8
sāra 1,adj,essential; fundamental; substantial; valuable; sound,√sar 1,a adj,11
sāra 2,masc,core; essence; substance; value,√sar 1,a masc,2
sāraṇīya 1.1,ptp,polite; pleasant; charming; (comm) fit to be remembered,√raj 1,a ptp,11
sārathi 2,masc,(horse or elephant) trainer,,i masc,4
sārambha 2.1,adj,harmful; hurtful; injurious (to living creatures),√rabh 2,a adj,11
sāriputta,masc,name of an arahant monk; chief disciple; great disciple of the Buddha; foremost disciple in great wisdom,,a masc,2
sāli,masc,fine rice,,i masc,4
sāsana 1,nt,message; letter,√sās,a nt,9
sāvaka,masc,disciple; pupil; follower,√su 1,a masc,2
sāvatthī,fem,name of a city; capital of Kosala,√su 2,ī fem,8
sikkhati 2,pr,trains (in); trains (for the purpose of); practices (for the sake of); practice (to),√sikkh,ati pr,3
sikkhā 2,fem,training (in); practice (in),√sikkh,ā fem,7
sikkhāpada,nt,precept; instruction; training rule,,a nt,9
sikkhitabba,ptp,should be learned (by); should be practised (by); should be trained (by),√sikkh,a ptp,14
siyā 1,opt,could be; may be; might be; should be,√as 1,siyā opt,7
siyā 2,opt,there could be,√as 1,siyā opt,7
sīla 1,nt,ethical conduct; virtue; moral integrity,√sīl,a nt,9
sīlavant,adj,virtuous; ethical; moral,√sīl,ant adj,6
sīsa 1,nt,head,,a nt,9
sīha 1,masc,lion,,a masc,2
sukara 1,adj,easily done; easy to do,√kar,a adj,11
sukka 1,adj,pure; bright,√suc 2,a adj,11
sukha 1,adj,easy (on); comfortable (for); pleasant (for); good (for); contented,√sukh,a adj,11
sukha 2,nt,ease; comfort; happiness; pleasure; contentment,√sukh,a nt east,9
sukhaṃ,ind,easily; comfortably; pleasantly; happily,√sukh,,13
sukhāya,nt,comfortable (for),√sukh,a nt,9
sukhī 2,masc,happy one; who is at ease; who is happy; who is comfortable,√sukh,ī masc,5
sukhuma 1,adj,fine; subtle; refined,,a adj,11
sugata 2,masc,Accomplished One; Fortunate One; epithet of the Buddha,√gam,a masc,11
sugata 3,adj,standard; commonly accepted,√gam,a adj,11
sugati,fem,good destination; happy fate,√gam,i fem,8
suñña 2,adj,empty; uninhabited,,a adj,11
suṇāti 1,pr,hears,√su 1,āti pr,3
suṇātu,imp,one must listen!; it must hear!,√su 1,āti pr,3
sutta 2.1,nt,scripture; discourse; sacred text,√siv 1,a nt,9
sutvā,abs,having heard; having listened (to),√su 1,,8
sunakkhatta 2,masc,name of a former monk,√nakkh,a masc,2
subhāsita 1,adj,well spoken; articulate; eloquent,√bhās 1,a adj,11
sūriya 1,masc,sun,√sur,a masc,2
sekha,masc,trainee; apprentice; learner; initiate; (comm) seven stages of a noble person before arahantship,√sikkh,a masc,2
seṭṭha 1,adj,foremost; best (of); primary; most important; supreme,,a adj,11
seti 2,pr,sleeps,√sī,eti pr,3
senā,fem,army; military,,ā fem,7
sevitabba 2,ptp,should be practised; should be followed; should be undertaken,√sev,a ptp,14
soka,masc,grief; sorrow; sadness,√suc 1,a masc,2
sota 1.1,masc,stream; river; current,√su 2,a masc,2
sota 2.1,nt,ear,√su 1,a nt,9
sobhati 2,pr,looks beautiful (in),√subh,ati pr,5
somanassa,nt,(mental) pleasure; happiness; gladness; joy; positive state of mind,√man,a nt,9
svākkhāta,adj,well taught; well preached; well explained,√khā,a adj,11
vacanīya 2,ptp,should be spoken (to); should be told (to); should be said (to),√vac,a ptp,14
vaccha 1.1,masc,calf; yearling; young animal,,a masc,2
vajja 2.1,nt,fault (of); error (of); mistake (of),√vajj,a nt,9
vaḍḍhati,pr,increases (in); grows (in); develops (in),√vaḍḍh,ati pr,3
vaṇṇa 1.03,masc,appearance; complexion; countenance,√var 1,a masc,2
vata 1.2,ind,certainly; surely; indeed,,,13
vattati 1,pr,proceeds; continues; goes forward; practices,√vatt,ati pr,3
vattha 1.1,nt,cloth; clothes; robe,√vas 2,a nt,9
vatthu 2,nt,site; location; base; grounds,√vas 1,u nt,9
vadati 1,pr,says (to); speaks (to); tells (to),√vad 1,ati pr,3
vadeyya,opt,,√vad 1,ati pr,7
vana 1.1,nt,wood; forest; grove,,a nt,9
vasa 1.2,masc,control (over); authority (over); power (over); mastery (over),√vas 3,a masc,2
vasati,pr,lives; stays; resides (in),√vas 1,ati pr,3
vassa 2,masc,rainy season; monsoon,√vass 1,a masc,2
vassa 3,nt,year,√vass 1,a nt,9
vā 1,ind,or; either or,,,6
vācā 1,fem,speech; words; statement; talk,√vac,ā fem,7
vāṇija,masc,trader; dealer,,a masc,4
vāta 1,masc,wind,√vā,a masc,2
vāda 4,masc,saying; mentioning,√vad 1,a masc,2
vādī 1,adj,speaking; saying; telling,√vad 1,ī adj,5
vāyamati,pr,tries (to); makes an effort (to); strives (for); exerts oneself (to),√yam 1,ati pr,3
vāyas,masc,air; wind,√vā,as masc,18
vijānāti 1,pr,comprehends; understands; recognises; distinguishes; is aware (of),√ñā,āti pr,3
vijjati 1,pr,exists (in); is found (in); is present (in),√vid 6,ati pr,13
vijjā 1,fem,knowledge; wisdom; understanding,√vid 5,ā fem,7
viññāṇa 1,nt,awareness; consciousness; mind; fifth of the five aggregates,√ñā,a nt,9
viññū 1,adj,wise; intelligent; discerning; knowledgeable,√ñā,ū adj,11
vitakka 1,masc,thought; reflection; pondering,√takk,a masc,2
vitakketi,pr,thinks (about); reflects (on); ponders (over),√takk,eti pr,3
vitthārena 1,ind,in detail; in full; thoroughly,√thar,,13
vidū 1,adj,wise; knowing; understanding,√vid 2,ū adj,6
vinaya 1,masc,discipline; training,√nī,a masc,2
vinassati 1,pr,perishes; is destroyed,√nas,ati pr,13
vinipāta,masc,state of suffering; purgatory; underworld,√pat 1,a masc,2
vineyya 1,ger,removing; getting rid (of),√nī,,8
vipassanā,fem,insight; penetrating internal vision; introspection,√dis 1,ā fem,7
vipassī 1,masc,name of the 7th previous Buddha,√dis 1,ī masc,5
vipāka 1,masc,(of an action) result; outcome; consequence; fruit,√pac,a masc,2
vipula 1,adj,vast; extensive; expansive; massive,√pul,a adj,11
vippaṭisārī,adj,remorseful; regretful; repentant; sorry,√sar 2,ī adj,5
vippamutta,pp,freed (from); released (from); saved (from),√muc,a pp,11
vibhaṅga 1,masc,analysis; classification; breakdown,√bhañj,a masc,3
vimuccati,pr,is released (from); is free (from),√muc,ati pr,13
vimutta 1,pp,freed (from); liberated (from); emancipated (from),√muc,a pp,11
vimutti,fem,release; liberation; deliverance; freedom; emancipation,√muc,i fem,8
virajjati 1,pr,becomes detached (from); loses interest (in); becomes dispassionate (towards); gets bored (with),√raj 1,ati pr,13
virāga 1.1,masc,fading of desire (for); dispassion (towards); detachment (from); indifference (to),√raj 1,a masc,2
virāga 2.1,masc,fading (of); disappearance (of); cessation (of); destruction (of),√raj 2,a masc,2
visuddha 1,pp,cleansed; purified; refined,√sudh,a pp,11
visuddhi 1.1,fem,purity (of); purification (of); holiness,√sudh,i fem,8
visesa 1,masc,distinction; attainment; superior state; eminence,√sis,a masc,2
vivicca,ger,separating (from); aloof (from),√vic,,8
viveka 1,masc,seclusion; solitude; detachment; disengagement; independence,√vic,a masc,2
viharati 1,pr,lives (in); dwells (in); stays (in),√har 3,ati pr,3
viharanta,prp,living (in); dwelling (in); staying (at); remaining (in); continuing (in),√har 3,anta prp,10
vihareyya,opt,could live; could stay (in),√har 3,ati pr,7
vihārī,adj,(of a state of being) living in; who has; being,√har 3,ī adj,5
vīmaṃsā 1,fem,inquiry; judgement; investigation; discrimination,√man,ā fem,7
vīriya 1,nt,effort; energy; might; power,√vīr,a nt,9
vuccati,pr,is said to be; is called,√vac,ati pr,13
vuṭṭhi,fem,rain; rainfall,√vass 1,i fem,8
vutta 2.1,pp,said; told; spoken; mentioned,√vac,a pp,11
vusita 1,pp,fulfilled; completed; finished,√vas 1,a pp,11
vūpakaṭṭha,pp,secluded (from); isolated (from); withdrawn (from),√kas 1,a pp,11
vūpasama 1,masc,peace (of); calming (of); subsiding (of); settling (of),√sam 1,a masc,2
vedanā 1,fem,"(pleasant, unpleasant or neutral) felt experience; feeling; sensation; second of the five aggregates",√vid 1,ā fem,7
veditabba 1,ptp,can be known (by); should be understood (by),√vid 1,a ptp,14
vedeti 1,pr,feels; experiences; senses,√vid 1,eti pr,3
vepulla 1,nt,expansion; full development; maturity,√pul,a nt,9
veyyākaraṇa 1,nt,answer; reply,√kar,a nt,9
vera,nt,hatred; ill-will; animosity; antagonism; hostility,√vīr,a nt,9
vesālī,fem,name of a city; capital of the Licchavis,,ī fem,8
vo 1.2,pron,by you all; with you all,,tvaṃ pron,5
vo 1.3,pron,to you all; for you all,,tvaṃ pron,5
vo 1.4,pron,of you all; your,,tvaṃ pron,5
voropeti,pr,deprives (of); removes (from); cuts off (from); takes down (from),√ruh,eti pr,14
haññati 2,pr,is hurt; is killed; is destroyed,√han,ati pr,13
hattha 1,masc,hand,,a masc,2
hanati 2,pr,kills; executes,√han,hanati pr,7
harati 2,pr,takes; steals; robs,√har 1,ati pr,3
hi 1,ind,indeed; certainly; truly; definitely,,,13
hita 3,nt,welfare (of); good (of); benefit (of); blessing,√dhā,a nt,9
hitāya,nt,beneficial (for); advantageous (for),√dhā,a nt,9
hitvā,abs,having left; having left behind; having abandoned,√hā 1,,8
hiri,fem,sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) originating from inside,√hir,i fem,8
hīna 1,pp,low; inferior; deficient,√hā 2,a pp,11
hoti 1,pr,is; becomes,√hū,hoti pr,4
hotu 1,imp,may it be (for)!,√hū,hoti pr,4
hotha,imp,may you all be!; I pray you all may be!,√hū,hoti pr,4
