Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	ID	Tags
anāgata 1	adj	pp	na āgacchati	neg				not come; not arrived; not present			√gam 1 a (to go)		na + ā + √gam + ta	anāgata	√gam																AN 7.23	paṭhamasattakasuttaṃ	‘kin’ti <b>anāgatā</b> ca pesalā sabrahmacārī āgaccheyyuṃ āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyun’ti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:anāgata.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anāgata 1&entry.1433863141=Anki"">Fix it here</a>."	5086	  Aparihāniya-dhammā
apaññatta	pp		na paññāpeti	neg	caus			(of a rule) not formulated; not prescribed; not decreed; not declared			√ñā 5 *āpe (to know)		na + pa + √ñā + ta	na + prajñapta	√jñā																AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū <b>apaññattaṃ</b> na paññāpessanti, paññattaṃ na samucchindissanti, yathā-paññattesu sikkhāpadesu samādāya vattissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=apaññatta&entry.1433863141=Anki"">Fix it here</a>."	8318	  Aparihāniya-dhammā
aparihāna	nt		na parihāyati	neg				not deteriorating; not decreasing; non-decline; non-regress			√hā 3 ya (to decrease)		na > a + pari + √hā + na	aparihāṇa	√hā				SN 35.96	parihānadhammasuttaṃ	veditabbam’etaṃ, bhikkhave, bhikkhunā — ‘na parihāyāmi kusalehi dhammehi’. <b>aparihānañ</b>’h’etaṃ vuttaṃ bhagavatā'ti										AN 8.79	parihānasuttaṃ	ime bhikkhave dhammā sekhassa bhikkhuno <b>aparihānāya</b> saṃvattanti.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:aparihāna.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aparihāna&entry.1433863141=Anki"">Fix it here</a>."	8444	  Aparihāniya-dhammā
āgaccheyya	opt		āgacchati			trans	+acc	could come; would come along; could approach; would arrive			√gam 1 a (to go)	√gam + a > gaccha	ā + gaccha + eyya	āgacchati	√gam				MN 9	sammādiṭṭhisuttaṃ	dūrato'pi kho mayaṃ, āvuso, <b>āgaccheyyāma</b> āyasmato sāriputtassa santike etassa bhāsitassa attham'aññātuṃ										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū paccattaññ’eva satiṃ upaṭṭhāpessanti: ‘kin’ti anāgatā ca pesalā sabrahmacārī <b>āgaccheyyuṃ </b>āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyun’ti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:āgaccheyya.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgaccheyya&entry.1433863141=Anki"">Fix it here</a>."	70939	  Aparihāniya-dhammā
āgata 3	pp		āgacchati				+abl	come (from); arrived (from)			√gam 1 a (to go)		ā + √gam + ta	āgata	√gam				MN 2.2	sabbāsavasuttaṃ	eta’r’ahi vā paccuppannam’addhānaṃ ajjhattaṃ kathaṃkathī hoti — ‘ahaṃ nu kho’smi? no nu kho’smi? kiṃ nu kho’smi? kathaṃ nu kho’smi? ayaṃ nu kho satto kuto <b>āgato</b>? so kuhiṃ gāmī bhavissatī’ti?										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū paccattaññ’eva satiṃ upaṭṭhāpessanti: ‘kin’ti anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ <b>āgatā</b> ca pesalā sabrahmacārī phāsuṃ vihareyyun’ti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:āgata.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgata 3&entry.1433863141=Anki"">Fix it here</a>."	2683	  Aparihāniya-dhammā
upaṭṭhāpeti 2	pr		upaṭṭhahati		caus	trans	+acc	establishes; sets up; causes to be present; makes sure one has			√ṭhā 1 *āpe (to stand)	√ṭhā + *āpe > ṭhape (caus)	upa + ṭhape + ti	upasthā	√sthā				TH 257	pārāpariyattheragāthā	“<b>upaṭṭhāpenti</b> parisaṃ, kammato no ca dhammato.<br/>dhammaṃ paresaṃ desenti, lābhato no ca atthato.										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū paccattaññ’eva satiṃ <b>upaṭṭhāpessanti</b>: ‘kin’ti anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyun’ti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:upaṭṭhāpeti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upaṭṭhāpeti 2&entry.1433863141=Anki"">Fix it here</a>."	63239	  Aparihāniya-dhammā
ottappī	adj		otappati					afraid of wrong; feeling shame; conscientious			√tapp 1 a (to regret)		ud > od + √tapp + *ī	anutāpin	√trap				AN 7.67	nagaropamasuttaṃ	seyyathā’pi rañño paccantime nagare anupariyāya-patho hoti ucco c’eva vitthato ca, evam’evaṃ kho, ariyasāvako <b>ottappī</b> hoti, ottappati kāyaduccaritena vacīduccaritena manoduccaritena										AN 7.25	tatiyasattakasuttaṃ	yāvakīvañ'ca bhikkhave bhikkhū <b>ottappino</b> bhavissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:ottappī.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ottappī&entry.1433863141=Anki"">Fix it here</a>."	39223	  Aparihāniya-dhammā
garuṃ karoti	pr	comp vb						respects; reveres											DN 16.27	mahāparinibbānasuttaṃ	so tathāgataṃ sakkaroti <b>garuṃ karoti</b> māneti pūjeti apaciyati, paramāya pūjāya.										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅgha-pitaro saṅgha-pariṇāyakā te sakkarissanti <b>garuṃ karissanti</b> mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:garuṃ karoti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=garuṃ karoti&entry.1433863141=Anki"">Fix it here</a>."	22876	  Aparihāniya-dhammā
garu 5	masc							respect; honour			√gar 1 a (to esteem, be heavy)		√gar + u	guru	√gur				MN 48	kosambiyasuttaṃ	cha’y’ime, bhikkhave, dhammā sāraṇīyā piyakaraṇā <b>garu</b>-karaṇā saṅgahāya avivādāya sāmaggiyā ekībhāvāya saṃvattanti.	Cha_sāraṇīya-dhammā	Principles of Cor diality	Teachings							AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅgha-pitaro saṅgha-pariṇāyakā te sakkarissanti <b>garuṃ</b> karissanti mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:garu.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=garu 5&entry.1433863141=Anki"">Fix it here</a>."	71006	Cha_sāraṇīya-dhammā  Aparihāniya-dhammā
cirapabbajita	adj	comp						having long since become a monk; ordained long ago					cira + pabbajita																		AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū <b>cirapabbajitā</b> saṅgha-pitaro saṅgha-pariṇāyakā te sakkarissanti garuṃ karissanti mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:cirapabbajita.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=cirapabbajita&entry.1433863141=Anki"">Fix it here</a>."	17173	  Aparihāniya-dhammā
ciraṃ	ind	adv, acc sg	cira					for a long time					cira + aṃ	ciram					DHP 248	malavaggo	evaṃ bho purisa jānāhi, pāpa-dhammā asaññatā. <br/>mā taṃ lobho adhammo ca, <b>ciraṃ</b> dukkhāya randhayuṃ.										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū <b>cira-</b>pabbajitā saṅgha-pitaro saṅgha-pariṇāyakā te sakkarissanti garuṃ karissanti mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:ciraṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ciraṃ&entry.1433863141=Anki"">Fix it here</a>."	17169	  Aparihāniya-dhammā
paññatta 2	pp		paññāpeti		caus			(of a rule) formulated; prescribed; decreed; declared			√ñā 5 *āpe (to know)	√ñā + āpe > ñāpe (caus)	pa + ñāpe + ta	prajñapta	√jñā				DN 16.36	mahāparinibbānasuttaṃ	yo vo, ānanda, mayā dhammo ca vinayo ca desito <b>paññatto</b>, so vo mam’accayena satthā.	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings							AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū apaññattaṃ na paññāpessanti, <b>paññattaṃ</b> na samucchindissanti, yathā-<b>paññattesu</b> sikkhāpadesu samādāya vattissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:paññatta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paññatta 2&entry.1433863141=Anki"">Fix it here</a>."	41800	Buddha-pacchima-ovāda  Aparihāniya-dhammā
paññavant	adj		paññā					wise; insightful; percipient			√ñā 5 nā (to know)		pa + √ñā + vant	prajñāvat	√jñā				AN 7.67	nagaropamasuttaṃ	ariyasāvako <b>paññavā</b> hoti uday’atthagāminiyā paññāya samannāgato ariyāya nibbedhikāya sammā dukkhakkhaya-gāminiyā.										AN 7.25	tatiyasattakasuttaṃ	yāvakīvañ'ca bhikkhave bhikkhū <b>paññavanto</b> bhavissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:paññavant.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paññavant&entry.1433863141=Anki"">Fix it here</a>."	41819	  Aparihāniya-dhammā
pariṇāyaka 2	masc	agent	pariṇeti					leader; who shows the way; lit. who leads around			√nī 1 a (to lead, carry)		pari + √nī > nāy + *aka	pari + nāyaka	√nī																AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅgha-pitaro saṅgha-<b>pariṇāyakā</b> te sakkarissanti garuṃ karissanti mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:pariṇāyaka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pariṇāyaka 2&entry.1433863141=Anki"">Fix it here</a>."	43025	  Aparihāniya-dhammā
pūjeti 1	pr					trans	+acc	worships; honours; respects			√pūj 8 *e (to honour, venerate)	√pūj + e > pūje	pūje + ti	pūjayati	√pūj				DN 16.27	mahāparinibbānasuttaṃ	so tathāgataṃ sakkaroti garuṃ karoti māneti <b>pūjeti</b> apaciyati, paramāya pūjāya.										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅgha-pitaro saṅgha-pariṇāyakā te sakkarissanti garuṃ karissanti mānessanti <b>pūjessanti</b> tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:pūjeti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pūjeti 1&entry.1433863141=Anki"">Fix it here</a>."	47466	  Aparihāniya-dhammā
pesala	adj							well-behaved; good						peśala																	AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū paccattaññ’eva satiṃ upaṭṭhāpessanti: ‘kin’ti anāgatā ca <b>pesalā</b> sabrahmacārī āgaccheyyuṃ āgatā ca <b>pesalā</b> sabrahmacārī phāsuṃ vihareyyun’ti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:pesala.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pesala&entry.1433863141=Anki"">Fix it here</a>."	46262	  Aparihāniya-dhammā
phāsuṃ	ind	adv, acc sg	phāsu					easily; comfortably			√phus 1 a (to touch)		√phus > phās + *u + uṃ<br/>phāsu + uṃ	sparśa	√spṛś	phāsu	(ANa) <b>phāsuṃ'y'evā</b>'ti iminā arahattaṃ dasseti. arahattappatto hi sabb'iriyāpathesu phāsu viharati nāma.		AN 8.63	saṃkhittasuttaṃ	yena yen'eva gagghasi <b>phāsuṃ</b>'y'eva gagghasi, yattha yattha ṭhassasi <b>phāsuṃ</b>'y'eva ṭhassasi, yattha yattha nisīdissasi <b>phāsuṃ</b>'y'eva nisīdissasi, yattha yattha seyyaṃ kappessasi <b>phāsuṃ</b>'y'eva seyyaṃ kappessasī'ti.										AN 7.23	paṭhamasattakasuttaṃ	‘kin’ti anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ āgatā ca pesalā sabrahmacārī <b>phāsuṃ</b> vihareyyun’ti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:phāsuṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=phāsuṃ&entry.1433863141=Anki"">Fix it here</a>."	46546	  Aparihāniya-dhammā
bhikkhuno 1	masc	dat sg	bhikkhu					for monk; to monk			√bhikkh 1 a (to beg)		√bhikkh + u + uno<br/>bhikkhu + uno	bhikṣuṇe	√bhikṣ				AN 10.51	sacittasuttaṃ	evam'evaṃ kho, bhikkhave, <b>bhikkhuno</b> paccavekkhaṇā bahukārā hoti kusalesu dhammesu										AN 8.79	parihānasuttaṃ	ime bhikkhave dhammā sekhassa <b>bhikkhuno</b> aparihānāya saṃvattanti. 	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:bhikkhuno.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhikkhuno 1&entry.1433863141=Anki"">Fix it here</a>."	14516	  Aparihāniya-dhammā
māneti	pr				caus	trans		honours; reveres; thinks highly			√mān 8 *e (to worship)	√mān + *e > māne (caus)	māne + ti		√mān				DN 16.27	mahāparinibbānasuttaṃ	so tathāgataṃ sakkaroti garuṃ karoti <b>māneti</b> pūjeti apaciyati, paramāya pūjāya.										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅgha-pitaro saṅgha-pariṇāyakā te sakkarissanti garuṃ karissanti <b>mānessanti</b> pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:māneti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=māneti&entry.1433863141=Anki"">Fix it here</a>."	33053	  Aparihāniya-dhammā
yathāpaññatta	adj	comp						as decreed; as prescribed; as formulated					yathā + paññatta																		AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū apaññattaṃ na paññāpessanti, paññattaṃ na samucchindissanti, <b>yathāpaññattesu</b> sikkhāpadesu samādāya vattissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yathāpaññatta&entry.1433863141=Anki"">Fix it here</a>."	69764	  Aparihāniya-dhammā
rattaññū	adj	comp						of long standing; lit. who knowing (many) night (as a monk)					ratta + ññū																		AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañca bhikkhave bhikkhū ye te bhikkhū therā <b>rattaññū</b> cirapabbajitā saṅgha-pitaro saṅgha-pariṇāyakā te sakkarissanti garuṃ karissanti mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:rattaññū.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=rattaññū&entry.1433863141=Anki"">Fix it here</a>."	48649	  Aparihāniya-dhammā
sakkaroti	pr					trans	+acc	honours; esteems; respects; lit. makes properly			√kar 7 o (to do, make)	√kar + o > karo	sat + karo + ti	satkaroti	√kṛ				DN 16.27	mahāparinibbānasuttaṃ	so tathāgataṃ <b>sakkaroti</b> garuṃ karoti māneti pūjeti apaciyati, paramāya pūjāya.										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅgha-pitaro saṅgha-pariṇāyakā te <b>sakkarissanti</b> garuṃ karissanti mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:sakkaroti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sakkaroti&entry.1433863141=Anki"">Fix it here</a>."	50319	  Aparihāniya-dhammā
saṅghapariṇāyaka	masc	comp						leader of the community					saṅgha + pariṇāyaka	saṃgha + pariṇāyaka			(ANa) pitiṭṭhāne ṭhitattā saṅghaṃ pariṇenti, pubb'aṅgamā hutvā tīsu sikkhāsu pavattentī'ti <b>saṅghapariṇāyakā</b>.														AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅghapitaro <b>saṅghapariṇāyakā</b> te sakkarissanti garuṃ karissanti mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:saṅghapariṇāyaka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saṅghapariṇāyaka&entry.1433863141=Anki"">Fix it here</a>."	53369	  Aparihāniya-dhammā
saṅghapitar	masc	comp						father of the community; community elder					saṅgha + pitar	saṃgha + pitṛ			(ANa) saṅghassa pitiṭṭhāne ṭhitā'ti <b>saṅghapitaro</b>.														AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā <b>saṅghapitaro</b> saṅghapariṇāyakā te sakkarissanti garuṃ karissanti mānessanti pūjessanti tesañ’ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:saṅghapitar.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saṅghapitar&entry.1433863141=Anki"">Fix it here</a>."	53372	  Aparihāniya-dhammā
samucchindati 1	pr					trans	+acc	cuts off completely; uproots; eradicates			√chid 2 ṃa (to cut, steal)	√chid + ṃa > chinda	saṃ + ud + chinda + ti	samucchinatti	√chid																AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū apaññattaṃ na paññāpessanti, paññattaṃ na <b>samucchindissanti</b>, yathā-paññattesu sikkhāpadesu samādāya vattissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samucchindati 1&entry.1433863141=Anki"">Fix it here</a>."	52497	  Aparihāniya-dhammā
sekha	masc		sikkhati					trainee; belonging to training; one who is in the course of perfection			√sikkh 1 a (to learn, train)		√sikkh > sekh + *a	śaikṣa	√śikṣ		(SNPa) sekhā'ti, sīlādīni sikkhamānā avasesā ariyapuggalā.<br/>(VINa) sekho'ti puthujjanakalyāṇakena saddhiṃ satta ariyā tisso sikkhā sikkhantī'ti sekhā.	(BDN) 'noble learner'	MN 152	indriyabhāvanāsuttaṃ	“kathañ’c’ānanda, <b>sekho</b> hoti pāṭipado?										AN 8.79	parihānasuttaṃ	ime bhikkhave dhammā <b>sekhassa</b> bhikkhuno aparihānāya saṃvattanti.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:sekha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sekha&entry.1433863141=Anki"">Fix it here</a>."	55491	  Aparihāniya-dhammā
vasaṃ gacchati	pr	comp vb					+gen	follows the lead (of); submits to the control (of); falls under the power (of); lit. goes by the wish (of)											SN 35.247	chappāṇakopamasuttaṃ	yadā kho te, bhikkhave, chappāṇakā jhattā assu kilantā, atha kho yo nesaṃ pāṇakānaṃ balavataro assa tassa te anuvatteyyuṃ, anuvidhāyeyyuṃ <b>vasaṃ</b> <b>gaccheyyuṃ</b>.										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū uppannāya taṇhāya ponobhavikāya na <b>vasaṃ</b> <b>gacchissanti</b>, vuddhi’y’eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:vasaṃ gacchati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vasaṃ gacchati&entry.1433863141=Anki"">Fix it here</a>."	65182	  Aparihāniya-dhammā
vasa 2	masc						+gen	control; authority; power; mastery			√vas 1 a (to want, control)		√vas + a	vaśa	√vaś				TH 257	pārāpariyattheragāthā	nīcā niviṭṭhā subharā, mudū atthaddha-mānasā.<br/>abyāsekā amukharā, attha-cintā <b>vas’</b>ānugā. 	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū uppannāya taṇhāya ponobhavikāya na <b>vasaṃ</b> gacchissanti, vuddhi’y’eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:vasa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vasa 2&entry.1433863141=Anki"">Fix it here</a>."	65160	Pārāpariya-thera-gāthā  Aparihāniya-dhammā
hirimant	adj		hirī					has a conscience; conscientious			√hir 3 ya (to be ashamed)		√hir + i + mant<br/>hiri + mant	hrīmat	√hrī	hirīmant															AN 7.25	tatiyasattakasuttaṃ	yāvakīvañ'ca bhikkhave bhikkhū <b>hirimanto</b> bhavissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	55	[sound:hirimant.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hirimant&entry.1433863141=Anki"">Fix it here</a>."	24398	  Aparihāniya-dhammā
